Unnamed: 0,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural,full_address,DPA_POST_TOWN,DPA_STATUS,DPA_MATCH_DESCRIPTION,DPA_THOROUGHFARE_NAME,DPA_Y_COORDINATE,DPA_UPRN,DPA_RPC,DPA_POSTCODE,DPA_ADDRESS,DPA_DEPENDENT_LOCALITY,DPA_X_COORDINATE,DPA_ORGANISATION_NAME,DPA_MATCH,DPA_BUILDING_NAME,DPA_lat,DPA_lng,LPI_STATUS,LPI_ADMINISTRATIVE_AREA,LPI_MATCH,LPI_SAO_START_NUMBER,LPI_USRN,LPI_Y_COORDINATE,LPI_UPRN,LPI_RPC,LPI_POSTCODE_LOCATOR,LPI_TOWN_NAME,LPI_LPI_KEY,LPI_X_COORDINATE,LPI_ADDRESS,LPI_STREET_DESCRIPTION,LPI_PAO_TEXT,LPI_MATCH_DESCRIPTION,LPI_lat,LPI_lng,LPI_SAO_TEXT,LPI_ORGANISATION,DPA_BUILDING_NUMBER,DPA_SUB_BUILDING_NAME,LPI_PAO_START_NUMBER,LPI_LOCALITY_NAME,,
370626,49a New Road,Hornsea,East Riding Of Yorkshire,,Swiss Cottage,Restaurant/Cafe/Canteen,1,5,,439765,5,,53.91327,41747,863,food.services@eastriding.gov.uk,East Riding of Yorkshire,http://www.eastriding.gov.uk,-0.162735,HU18 1PH,27/03/2014,fhrs_4_en-GB,4,,FHRS,10,"49a New Road, Hornsea, East Riding Of Yorkshire, HU18 1PH",HORNSEA,APPROVED,EXACT,NEW ROAD,447915,10024214193,1,HU18 1PH,"49A, NEW ROAD, HORNSEA, HU18 1PH",,520796,,1,49A,-0.162443232,53.91330993,APPROVED,EAST RIDING OF YORKSHIRE,1,,45902177,447915,10024214193,1,HU18 1PH,HORNSEA,2001L000194148,520796,"SWISS COTTAGE, 49A, NEW ROAD, HORNSEA, EAST RIDING OF YORKSHIRE, HU18 1PH",NEW ROAD,SWISS COTTAGE,EXACT,-0.162443232,53.91330993,,,,,49,,A,
300687,,117 Parkstone Road,Poole,,Subway,Restaurant/Cafe/Canteen,1,0,,568136,5,,50.723118,8604,873,,Poole,http://www.boroughofpoole.com/,-1.963196,BH15 2PB,31/08/2012,fhrs_5_en-GB,5,,FHRS,0,"117 Parkstone Road, Poole, BH15 2PB",POOLE,APPROVED,GOOD,PARKSTONE ROAD,91492,1.00041E+11,1,BH15 2PB,"SUBWAY, 117, PARKSTONE ROAD, POOLE, BH15 2PB",,402673,SUBWAY,0.9,,-1.963497176,50.72304589,APPROVED,POOLE,1,,30300171,91492,1.00041E+11,1,BH15 2PB,POOLE,1255L000048776,402673,"117, PARKSTONE ROAD, POOLE, BH15 2PB",PARKSTONE ROAD,,EXACT,-1.963497176,50.72304589,,,117,,117,,,
389892,Station Buildings,Egton Bridge Station,Egton Bridge,Whitby,Egton Playgroup,Hospitals/Childcare/Caring Premises,5,0,,34251,0,,54.437598,10/00102/COMM,255,fos@scarborough.gov.uk,Scarborough,http://www.scarborough.gov.uk/foodhygienerating,-0.761555,YO21 1UX,22/03/2013,fhrs_5_en-GB,5,,FHRS,0,"Station Buildings, Egton Bridge Station, Egton Bridge, Whitby, YO21 1UX",WHITBY,APPROVED,GOOD,,505209,10090175914,1,YO21 1UY,"EGTON ESTATE, EGTON BRIDGE, WHITBY, YO21 1UY",EGTON BRIDGE,480506,EGTON ESTATE,0.8,,-0.760339881,54.43593144,APPROVED,NORTH YORKSHIRE,0.9,,33703717,505361,10023876894,2,YO21 1UX,WHITBY,2730L000109686,480412,"EGTON BRIDGE STATION, BROOM HOUSE LANE TO EGTON CLIFF, EGTON BRIDGE, WHITBY, NORTH YORKSHIRE, YO21 1UX",BROOM HOUSE LANE TO EGTON CLIFF,EGTON BRIDGE STATION,GOOD,-0.761747527,54.437312,,,,,,EGTON BRIDGE,,
119895,3 Park House,Hither Green Lane,Hither Green,London,The Park Nursery,Hospitals/Childcare/Caring Premises,5,5,,255576,0,,51.449743,PI/000171913,523,david.edwards@lewisham.gov.uk,Lewisham,http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx,-0.005345,SE13 6RN,08/10/2013,fhrs_5_en-GB,5,,FHRS,0,"3 Park House, Hither Green Lane, Hither Green, London, SE13 6RN",LONDON,APPROVED,GOOD,EDWIN HALL PLACE,174195,10090785292,1,SE13 6RN,"3, EDWIN HALL PLACE, LONDON, SE13 6RN",,538698,,0.8,,-0.005389547,51.44976119,APPROVED,LEWISHAM,1,3,22001560,174205,10023226597,1,SE13 6RN,LONDON,5690L000147381,538668,"3, PARK HOUSE, HITHER GREEN LANE, HITHER GREEN, LONDON, LEWISHAM, SE13 6RN",HITHER GREEN LANE,PARK HOUSE,EXACT,-0.00581708,51.44985839,,,3,,,HITHER GREEN,,
301773,,Pollard Road,Bridgwater,,Jade Garden,Takeaway/sandwich shop,7844,5,,119030,5,,51.133788,4831,282,environmental.services@sedgemoor.gov.uk,Sedgemoor,http://www.sedgemoor.gov.uk,-2.977695,TA6 4YA,06/03/2013,fhrs_5_en-GB,5,,FHRS,0,"Pollard Road, Bridgwater, TA6 4YA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262885,60 Station Road,Westgate On Sea,Kent,,Westgate Fish 'N' Chips,Takeaway/sandwich shop,7844,0,,637677,10,,51.381612,PI/000040453,190,environmental.health@thanet.gov.uk,Thanet,http://www.thanet.gov.uk,1.337901,CT8 8QY,11/02/2014,fhrs_4_en-GB,4,,FHRS,10,"60 Station Road, Westgate On Sea, Kent, CT8 8QY",WESTGATE-ON-SEA,APPROVED,GOOD,STATION ROAD,169990,1.00062E+11,1,CT8 8QY,"WESTGATE FISH & CHIP SHOP, 60, STATION ROAD, WESTGATE-ON-SEA, CT8 8QY",,632329,WESTGATE FISH & CHIP SHOP,0.9,,1.337336812,51.38138334,APPROVED,KENT,0.9,,40301284,169990,1.00062E+11,1,CT8 8QY,WESTGATE ON SEA,2260L000047916,632329,"WESTGATE FISH AND CHIP SHOP, 60, STATION ROAD, WESTGATE ON SEA, KENT, CT8 8QY",STATION ROAD,,GOOD,1.337336812,51.38138334,,WESTGATE FISH AND CHIP SHOP,60,,60,,,
240619,The Links College Cuckfield Road Burgess Hill West Sussex,,,,Cygnet Catering - The Links College,School/college/university,7845,0,,509138,5,,50.971833,13/00031/FOOD,328,foodsafety@midsussex.gov.uk,Mid Sussex,http://www.midsussex.gov.uk/,-0.143857,RH15 8RE,12/02/2013,fhrs_2_en-GB,2,,FHRS,15,"The Links College Cuckfield Road Burgess Hill West Sussex, RH15 8RE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150162,Village Square,Cramlington,Northumberland,,Blagdon Arms,Pub/bar/nightclub,7843,5,,289052,5,,55.086638,8659,707,envhealthsoutheast@northumberland.gov.uk,Northumberland,http://www.northumberland.gov.uk,-1.583757,NE23 1DN,13/05/2014,fhrs_5_en-GB,5,,FHRS,5,"Village Square, Cramlington, Northumberland, NE23 1DN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230213,254 White Hart Lane,Fareham,,,Ocean Plaice,Other catering premises,7841,10,,693745,5,,50.843754,1.00062E+11,134,regulatory@fareham.gov.uk,Fareham,http://www.fareham.gov.uk,-1.138193,PO16 9AR,16/06/2014,fhrs_4_en-GB,4,,FHRS,0,"254 White Hart Lane, Fareham, PO16 9AR",FAREHAM,APPROVED,EXACT,WHITE HART LANE,105256,1.00062E+11,1,PO16 9AR,"254, WHITE HART LANE, FAREHAM, PO16 9AR",,460798,,1,,-1.137842913,50.84364256,APPROVED,HAMPSHIRE,1,,14407446,105256,1.00062E+11,1,PO16 9AR,FAREHAM,1720L000046888,460798,"254, WHITE HART LANE, FAREHAM, HAMPSHIRE, PO16 9AR",WHITE HART LANE,,EXACT,-1.137842913,50.84364256,,,254,,254,,,
155680,,34 Wellington Square,,Stockton-On-Tees,Greggs of Gosforth,Retailers - other,4613,0,,250860,0,,54.565498,104508,862,environmental.health@stockton.gov.uk,Stockton On Tees,http://www.stockton.gov.uk,-1.314128,TS18 1RH,03/10/2013,fhrs_5_en-GB,5,,FHRS,0,"34 Wellington Square, Stockton-On-Tees, TS18 1RH",STOCKTON-ON-TEES,APPROVED,GOOD,WELLINGTON SQUARE,519174,20002028016,1,TS18 1RH,"GAME STORES GROUP LTD, 34, WELLINGTON SQUARE, STOCKTON-ON-TEES, TS18 1RH",,444436,GAME STORES GROUP LTD,0.9,,-1.314275532,54.56584901,APPROVED,STOCKTON-ON-TEES,0.9,,38205953,519174,20002028016,1,TS18 1RH,STOCKTON-ON-TEES,0738L000023174,444436,"GAME, 34, WELLINGTON SQUARE, STOCKTON-ON-TEES, TS18 1RH",WELLINGTON SQUARE,,GOOD,-1.314275532,54.56584901,,GAME,34,,34,,,
347917,,421 King Street,Stoke-On-Trent,,Foley Oatcakes (Mobile),Mobile caterer,7846,20,,140967,5,,52.992867,77163,880,PublicProtection@stoke.gov.uk,Stoke-On-Trent,http://www.stoke.gov.uk,-2.141504,ST4 3EE,24/11/2011,fhrs_1_en-GB,1,,FHRS,5,"421 King Street, Stoke-On-Trent, ST4 3EE",STOKE-ON-TRENT,APPROVED,GOOD,KING STREET,343962,3455055863,1,ST4 3EE,"FOLEY OATCAKES & TAKE AWAY, 421, KING STREET, STOKE-ON-TRENT, ST4 3EE",,390567,FOLEY OATCAKES & TAKE AWAY,0.9,,-2.141980943,52.99290272,APPROVED,CITY OF STOKE-ON-TRENT,1,,8303564,343962,3455055863,1,ST4 3EE,STOKE-ON-TRENT,3455L000078119,390567,"421, KING STREET, STOKE-ON-TRENT, CITY OF STOKE-ON-TRENT, ST4 3EE",KING STREET,,EXACT,-2.141980943,52.99290272,,,421,,421,,,
83276,278 Ealing Road,Wembley,,,Chillout,Takeaway/sandwich shop,7844,10,,533804,10,,51.541495,8766,504,ens.foodsafety@brent.gov.uk,Brent,http://www.brent.gov.uk/,-0.298133,HA0 4LL,09/02/2011,fhrs_3_en-GB,3,,FHRS,10,"278 Ealing Road, Wembley, HA0 4LL",WEMBLEY,APPROVED,GOOD,EALING ROAD,183908,202102210,2,HA0 4LL,"CHILL OUT, 278, EALING ROAD, WEMBLEY, HA0 4LL",,518123,CHILL OUT,0.9,,-0.298083517,51.54171857,APPROVED,BRENT,0.9,,20200486,183908,202102210,2,HA0 4LL,WEMBLEY,5150L000070438,518123,"Chillout, 278, EALING ROAD, WEMBLEY, BRENT, HA0 4LL",EALING ROAD,,GOOD,-0.298083517,51.54171857,,Chillout,278,,278,,,
220135,"Nasons, 46-47 High Street, Canterbury,",,,,The Coffee Shop,Restaurant/Cafe/Canteen,1,0,,247898,5,,51.278843,INS/02/21303,180,food@canterbury.gov.uk,Canterbury City,http://www.canterbury.gov.uk,1.079833,CT1 2SB,09/08/2013,fhrs_5_en-GB,5,,FHRS,0,"Nasons, 46-47 High Street, Canterbury,, CT1 2SB",CANTERBURY,APPROVED,GOOD,HIGH STREET,157539.11,1.00061E+11,1,CT3 1AA,"46, HIGH STREET, WINGHAM, CANTERBURY, CT3 1AA",WINGHAM,624358.56,,0.9,,1.215160422,51.27280887,APPROVED,KENT,1,,5600631,157807,1.00063E+11,1,CT1 2SB,CANTERBURY,2210L000002105,614896,"NASONS, 46-47, HIGH STREET, CANTERBURY, KENT, CT1 2SB",HIGH STREET,,EXACT,1.079875079,51.27885849,,NASONS,46,,46,,,47
89216,"Unit 1, Kingswell",58-62      Heath Street,London,Greater London,Wagamama,Restaurant/Cafe/Canteen,1,0,,470819,5,,51.556985,70354,506,planningandpublicprotection@camden.gov.uk,Camden,http://www.camden.gov.uk,-0.178096,NW3 1EN,08/05/2012,fhrs_5_en-GB,5,,FHRS,5,"Unit 1, Kingswell, 58-62      Heath Street, London, Greater London, NW3 1EN",LONDON,APPROVED,GOOD,HEATH STREET,185820,10091822182,2,NW3 1EN,"PAILO MAROCHETTIE INTERIORS LTD, UNIT 1, KINGSWELL 58-62, HEATH STREET, LONDON, NW3 1EN",,526403,PAILO MAROCHETTIE INTERIORS LTD,0.9,KINGSWELL 58-62,-0.178064017,51.5571096,APPROVED,CAMDEN,0.9,,20499121,185820,5123938,2,NW3 1EN,LONDON,5210L000086737,526403,"SHOP AND PREMISES AT GROUND AND 1ST FLOOR UNIT 1, KINGSWELL, 58-62, HEATH STREET, LONDON, CAMDEN, NW3 1EN",HEATH STREET,KINGSWELL,GOOD,-0.178064017,51.5571096,SHOP AND PREMISES AT GROUND AND 1ST FLOOR UNIT 1,,,UNIT 1,58,,,62
409763,Church Street,,Enniskillen,Fermanagh,St Michael's Parish Centre (937),Other catering premises,7841,10,,710767,0,,54.346015,11022,816,envhealth@fermanagh.gov.uk,Fermanagh,http://www.fermanagh.gov.uk/ratings,-7.640852,BT74 7EJ,20/01/2015,fhrs_4_en-GB,4,,FHRS,5,"Church Street, Enniskillen, Fermanagh, BT74 7EJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169330,Altrincham Road,Wilmslow,Cheshire,,Rylands Farm Guest House,Hotel/bed & breakfast/guest house,7842,10,,343877,5,,53.342947,L09A11ALTR/1,703,commercialservices@cheshireeast.gov.uk,Cheshire East,http://www.cheshireeast.gov.uk/,-2.268332,SK9 4LT,27/10/2009,fhrs_4_en-GB,4,,FHRS,5,"Altrincham Road, Wilmslow, Cheshire, SK9 4LT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325718,4 Temple Street,Birmingham,,,San Carlo,Restaurant/Cafe/Canteen,1,5,,598442,5,,52.480225,PI/000152897,402,nick.lowe@birmingham.gov.uk,Birmingham,http://www.birmingham.gov.uk/environmental-health,-1.899419,B2 5BN,30/05/2013,fhrs_5_en-GB,5,,FHRS,5,"4 Temple Street, Birmingham, B2 5BN",BIRMINGHAM,APPROVED,GOOD,TEMPLE STREET,286942,1.00071E+11,1,B2 5BN,"SAN CARLOS RISTORANTE, 4, TEMPLE STREET, BIRMINGHAM, B2 5BN",,406934,SAN CARLOS RISTORANTE,0.9,,-1.899330891,52.48036016,APPROVED,BIRMINGHAM,1,,2702371,286942,1.00071E+11,1,B2 5BN,BIRMINGHAM,4605L000476729,406934,"4, TEMPLE STREET, BIRMINGHAM, B2 5BN",TEMPLE STREET,,EXACT,-1.899330891,52.48036016,,,4,,4,,,
283178,,66 Raymend Road,Bedminster,Bristol,The Victoria Park,Pub/bar/nightclub,7843,0,,310460,0,,51.43831,103213,855,food.safety@bristol.gov.uk,Bristol,http://www.bristol.gov.uk,-2.589707,BS3 4QW,05/02/2013,fhrs_5_en-GB,5,,FHRS,5,"66 Raymend Road, Bedminster, Bristol, BS3 4QW",BRISTOL,APPROVED,GOOD,RAYMEND ROAD,171195.48,172995,1,BS3 4QW,"THE VICTORIA PARK, 66, RAYMEND ROAD, BRISTOL, BS3 4QW",,359109.12,THE VICTORIA PARK,0.9,,-2.589678078,51.4382698,,,,,,,,,,,,,,,,,,,,,66,,,,,
71855,Adams Building,Stoney Street,,Nottingham,Once Upon A Time Nursery,Hospitals/Childcare/Caring Premises,5,0,,216354,0,,52.952844,61873,899,food.enforcement@nottinghamcity.gov.uk,Nottingham City,http://www.nottinghamcity.gov.uk/foodsafety,-1.143871,NG1 1NG,16/01/2014,fhrs_5_en-GB,5,,FHRS,5,"Adams Building, Stoney Street, Nottingham, NG1 1NG",NOTTINGHAM,APPROVED,GOOD,STONEY STREET,339840,10091819390,1,NG1 1NG,"CLARENDON CITY COLLEGE, ADAMS BUILDING, STONEY STREET, NOTTINGHAM, NG1 1NG",,457620,CLARENDON CITY COLLEGE,0.9,ADAMS BUILDING,-1.143812039,52.95285252,ALTERNATIVE,NOTTINGHAM CITY,0.9,,29001456,339840,2.00001E+11,1,NG1 1LH,NOTTINGHAM,3060L000123435,457620,"NEW COLLEGE NOTTINGHAM, ADAMS BUILDING, STONEY STREET, NOTTINGHAM, NOTTINGHAM CITY, NG1 1LH",STONEY STREET,ADAMS BUILDING,GOOD,-1.143812039,52.95285252,,NEW COLLEGE NOTTINGHAM,,,,,,
393824,,,,,Ray's Sweet Memory Lane,Retailers - other,4613,0,,720348,0,,,39945,425,healthprotection@sheffield.gov.uk,Sheffield,https://www.sheffield.gov.uk/environment/environmental-health.html,,,25/11/2014,fhrs_5_en-GB,5,,FHRS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281119,,2 Doncaster Road,Southmead,Bristol,Kingfisher Fish & Chips,Takeaway/sandwich shop,7844,10,,310810,5,,51.497855,107920,855,food.safety@bristol.gov.uk,Bristol,http://www.bristol.gov.uk,-2.597995,BS10 5PL,18/11/2011,fhrs_3_en-GB,3,,FHRS,10,"2 Doncaster Road, Southmead, Bristol, BS10 5PL",BRISTOL,APPROVED,GOOD,LYDNEY ROAD,177858,13419,1,BS10 5JZ,"2, LYDNEY ROAD, SOUTHMEAD, BRISTOL, BS10 5JZ",SOUTHMEAD,358562,,0.9,,-2.598332263,51.49813279,APPROVED,BRISTOL,1,,4539733,177811,13848,1,BS10 5PL,BRISTOL,0116L000164713,358599,"2, DONCASTER ROAD, SOUTHMEAD, BRISTOL, BS10 5PL",DONCASTER ROAD,,EXACT,-2.597793756,51.49771293,,,2,,2,SOUTHMEAD,,
403476,,,351 Ormeau Road,Belfast,Kings,Takeaway/sandwich shop,7844,10,,60189,5,,54.578916,131541,807,envhealth@belfastcity.gov.uk,Belfast,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,-5.919805,BT7 3GL,06/03/2014,fhrs_4_en-GB,4,,FHRS,5,"351 Ormeau Road, Belfast, BT7 3GL",BELFAST,,GOOD,ORMEAU ROAD,0,,0,BT7 3GL,"JUST COD IN, 351, ORMEAU ROAD, BELFAST, BT7 3GL",,0,JUST COD IN,0.9,,-7.557159842,49.76680723,,,,,,,,,,,,,,,,,,,,,351,,,,,
464281,,113 Penarth Road,Grangetown,Cardiff,Man Fung Store,Retailers - other,4613,0,,719346,10,,51.471695,56908,556,foodteam@cardiff.gov.uk,Cardiff,http://www.cardiff.gov.uk/foodsafety,-3.183176,CF11 6JT,11/11/2014,fhrs_4_en-GB,4,,FHRS,0,"113 Penarth Road, Grangetown, Cardiff, CF11 6JT",CAERDYDD,APPROVED,GOOD,PENARTH ROAD,175372,10002512570,1,CF11 6JT,"MAN FUNG, 113, PENARTH ROAD, CAERDYDD, CF11 6JT",,317893,MAN FUNG,0.9,,-3.183514448,51.47133241,APPROVED,CARDIFF,1,,5804621,175372,1.00101E+11,1,CF11 6JT,CARDIFF,6815L000767999,317893,"113, PENARTH ROAD, GRANGETOWN, CARDIFF, CF11 6JT",PENARTH ROAD,,EXACT,-3.183514448,51.47133241,,,113,,113,GRANGETOWN,,
256094,18 Market Place,,WALLINGFORD,Oxon,K P Stationers,Retailers - other,4613,5,,271941,5,,51.599948,AD:24586,270,env.health@southandvale.gov.uk,South Oxfordshire,https://www.southoxon.gov.uk,-1.125159,OX10 0AD,26/10/2011,fhrs_5_en-GB,5,,FHRS,5,"18 Market Place, WALLINGFORD, Oxon, OX10 0AD",WALLINGFORD,APPROVED,GOOD,MARKET PLACE,189394.69,10033012062,1,OX10 0AD,"K P STATIONERS, 18, MARKET PLACE, WALLINGFORD, OX10 0AD",,460686.12,K P STATIONERS,0.9,,-1.125213001,51.60013365,APPROVED,OXFORDSHIRE,1,,36201001,189394.69,10033012062,1,OX10 0AD,WALLINGFORD,3115L000061775,460686.12,"K P STATIONERS, 18, MARKET PLACE, WALLINGFORD, OXFORDSHIRE, OX10 0AD",MARKET PLACE,,EXACT,-1.125213001,51.60013365,K P STATIONERS,,18,,18,,,
61257,Eastfield Hall,7 Stanley Road,Leicester,,Eastfield Care Home,Hospitals/Childcare/Caring Premises,5,10,,688710,10,,52.622576,13/00620/CP,878,food@leicester.gov.uk,Leicester City,http://www.leicester.gov.uk/food,-1.111728,LE2 1RF,16/07/2014,fhrs_3_en-GB,3,,FHRS,10,"Eastfield Hall, 7 Stanley Road, Leicester, LE2 1RF",LEICESTER,APPROVED,GOOD,STANLEY ROAD,303190,2465097104,1,LE2 1RF,"EASTFIELD HALL OF RESIDENCE, 7, STANLEY ROAD, LEICESTER, LE2 1RF",,460231,EASTFIELD HALL OF RESIDENCE,0.9,,-1.11168733,52.62314152,APPROVED,LEICESTER CITY,1,,23102852,303190,2465097104,1,LE2 1RF,LEICESTER,2465L000070472,460231,"EASTFIELD HALL, 7, STANLEY ROAD, LEICESTER, LEICESTER CITY, LE2 1RF",STANLEY ROAD,EASTFIELD HALL,EXACT,-1.11168733,52.62314152,,,7,,7,,,
91944,1585 London Road London SW16 4AA,,,,Hap Lee,Restaurant/Cafe/Canteen,1,5,,190033,10,,51.41299,02672/1585/0/200,507,food.safety@croydon.gov.uk,Croydon,http://www.croydon.gov.uk,-0.124607,SW16 4AA,08/11/2011,fhrs_3_en-GB,3,,FHRS,10,"1585 London Road London SW16 4AA, SW16 4AA",LONDON,APPROVED,GOOD,LONDON ROAD,169887,10090925833,2,SW16 4AA,"HAP LEE CHINESE RESTAURANT, 1585, LONDON ROAD, LONDON, SW16 4AA",,530525,HAP LEE CHINESE RESTAURANT,0.9,,-0.124523266,51.41298747,APPROVED,CROYDON,0.9,,20502653,169887,10090925833,2,SW16 4AA,LONDON,5240L000184341,530525,"1585, LONDON ROAD, NORBURY, LONDON, CROYDON, SW16 4AA",LONDON ROAD,,GOOD,-0.124523266,51.41298747,,,1585,,1585,NORBURY,,
340086,,127-130 High Street,,Tipton,Acord Housing Association (1-59 Swallowfields),Restaurant/Cafe/Canteen,1,0,,146414,5,,52.528216,89185,423,environmental_health@sandwell.gov.uk,Sandwell,http://www.sandwell.gov.uk/foodratings,-2.071062,DY4 8BJ,03/01/2013,fhrs_5_en-GB,5,,FHRS,5,"127-130 High Street, Tipton, DY4 8BJ",TIPTON,APPROVED,GOOD,HIGH STREET,293858,32025869,1,DY4 9JE,"SHOEBIZ, 127, HIGH STREET, PRINCES END, TIPTON, DY4 9JE",PRINCES END,395767,SHOEBIZ,0.9,,-2.063846708,52.54255961,APPROVED,SANDWELL,0.9,,33624220,293858,32025869,1,DY4 9JE,TIPTON,4620L000008864,395767,"127, HIGH STREET, PRINCES END, TIPTON, SANDWELL, DY4 9JE",HIGH STREET,,GOOD,-2.063846708,52.54255961,,,127,,127,PRINCES END,,
341984,Whitehall Lodge Care Home,109 Whitehall Road,,West Bromwich,Whitehall Lodge Residential Home,Hospitals/Childcare/Caring Premises,5,5,,575518,5,,52.522535,11905,423,environmental_health@sandwell.gov.uk,Sandwell,http://www.sandwell.gov.uk/foodratings,-2.027221,B70 0HG,02/10/2013,fhrs_5_en-GB,5,,FHRS,5,"Whitehall Lodge Care Home, 109 Whitehall Road, West Bromwich, B70 0HG",WEST BROMWICH,APPROVED,EXACT,WHITEHALL ROAD,291653,32069344,1,B70 0HG,"109, WHITEHALL ROAD, WEST BROMWICH, B70 0HG",,398254,,1,,-2.027163492,52.52275112,APPROVED,SANDWELL,0.8,,33652760,291653,32069344,1,B70 0HG,WEST BROMWICH,4620L000047808,398254,"WHITEHALL LODGE CARE HOME, 109, WHITEHALL ROAD, WEST BROMWICH, SANDWELL, B70 0HG",WHITEHALL ROAD,WHITEHALL LODGE CARE HOME,GOOD,-2.027163492,52.52275112,,,109,,109,,,
182047,Dovedale Towers,60 Penny Lane,LIVERPOOL,Merseyside,The Dovey,Pub/bar/nightclub,7843,20,,498617,15,,53.386516,PI/000246879,414,environmental.health@liverpool.gov.uk,Liverpool,http://www.liverpool.gov.uk/,-2.919829,L18 1DG,01/10/2013,fhrs_1_en-GB,1,,FHRS,15,"Dovedale Towers, 60 Penny Lane, LIVERPOOL, Merseyside, L18 1DG",LIVERPOOL,APPROVED,GOOD,PENNY LANE,388200,38117063,1,L18 1DG,"DOVEDALE TOWERS, 60, PENNY LANE, LIVERPOOL, L18 1DG",,339000,DOVEDALE TOWERS,0.9,,-2.918623229,53.38710161,APPROVED,LIVERPOOL,1,,23603520,388200,38117063,1,L18 1DG,LIVERPOOL,4310L000121193,339000,"60, PENNY LANE, LIVERPOOL, L18 1DG",PENNY LANE,,EXACT,-2.918623229,53.38710161,,,60,,60,,,
316215,Agincourt Residential Care Hom,116 Dorchester Road,,Weymouth,Agincourt Care Home,Hospitals/Childcare/Caring Premises,5,5,,306381,0,,50.626835,20685,90,envhealth@weymouth.gov.uk,Weymouth and Portland,http://www.dorsetforyou.com,-2.458274,DT4 7LG,24/02/2014,fhrs_5_en-GB,5,,FHRS,5,"Agincourt Residential Care Hom, 116 Dorchester Road, Weymouth, DT4 7LG",WEYMOUTH,APPROVED,GOOD,DORCHESTER ROAD,80844,1.00041E+11,1,DT4 7LG,"AGINCOURT RESIDENTIAL CARE HOME, 116, DORCHESTER ROAD, WEYMOUTH, DT4 7LG",,367712,AGINCOURT RESIDENTIAL CARE HOME,0.9,,-2.457834916,50.62639631,APPROVED,DORSET,0.9,,44000871,80844,1.00041E+11,1,DT4 7LG,WEYMOUTH,1235L000016408,367712,"AGINCOURT RESIDENTIAL CARE HOME, 116, DORCHESTER ROAD, WEYMOUTH, DORSET, DT4 7LG",DORCHESTER ROAD,AGINCOURT RESIDENTIAL CARE HOME,GOOD,-2.457834916,50.62639631,,,116,,116,,,
262385,,,,,Party Flair,Other catering premises,7841,0,,608250,0,,,PI/000030228,190,environmental.health@thanet.gov.uk,Thanet,http://www.thanet.gov.uk,,,02/06/2014,fhrs_5_en-GB,5,,FHRS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356148,61 Lowesmoor,Worcester,,,Four Seasons,Restaurant/Cafe/Canteen,1,5,,674545,5,,52.195187,WO/01644/CP,151,wrsenquiries@worcsregservices.gov.uk,Worcester City,http://www.worcsregservices.gov.uk,-2.217221,WR1 2RS,02/09/2013,fhrs_5_en-GB,5,,FHRS,5,"61 Lowesmoor, Worcester, WR1 2RS",WORCESTER,APPROVED,EXACT,LOWESMOOR,255204,1.00121E+11,2,WR1 2RS,"61, LOWESMOOR, WORCESTER, WR1 2RS",,385269,,1,,-2.216928133,52.19487269,APPROVED,WORCESTERSHIRE,1,,45000651,255204,1.00121E+11,2,WR1 2RS,WORCESTER,1835L000023396,385269,"61, LOWESMOOR, WORCESTER, WORCESTERSHIRE, WR1 2RS",LOWESMOOR,,EXACT,-2.216928133,52.19487269,,,61,,61,,,
480698,,,,,The Food Station,Mobile caterer,7846,5,,654762,10,,,198666,567,food.healthandsafety@rctcbc.gov.uk,Rhondda Cynon Taf,http://www.rhondda-cynon-taf.gov.uk/en/business/healthandsafety/foodbusiness-foodsafetyinspections/foodbusiness-foodsafetyinspection.aspx,,,31/03/2014,fhrs_4_en-GB,4,,FHRS,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
